Patch ID,Execution,Task Name,Topology,Test,Node,Average Growth in /data/dbs/ (bytes/s),End size of /data/dbs/ (bytes)
65007a8ae3c33107e3204774,0,qe_range_testing_workloads_evergreen_experiment1_1_c0_s1_ub131071,linux-1-node-replSet-fle.2022-11,qe_range_testing_workloads_evergreen_experiment1_1_c0_s1_ub131071 Storage Metrics,{"mongod": 0},27153.23455,20638228
65007a8ae3c33107e3204774,0,qe_range_testing_workloads_evergreen_experiment1_1_c0_s1_ub2147483647,linux-1-node-replSet-fle.2022-11,qe_range_testing_workloads_evergreen_experiment1_1_c0_s1_ub2147483647 Storage Metrics,{"mongod": 0},20955.89997,16362623
65007a8ae3c33107e3204774,0,qe_range_testing_workloads_evergreen_experiment1_1_c0_s1_ub511,linux-1-node-replSet-fle.2022-11,qe_range_testing_workloads_evergreen_experiment1_1_c0_s1_ub511 Storage Metrics,{"mongod": 0},20573.10273,16396714
65007a8ae3c33107e3204774,0,qe_range_testing_workloads_evergreen_experiment1_1_c0_s1_ub8191,linux-1-node-replSet-fle.2022-11,qe_range_testing_workloads_evergreen_experiment1_1_c0_s1_ub8191 Storage Metrics,{"mongod": 0},28616.49882,20228055
65007a8ae3c33107e3204774,0,qe_range_testing_workloads_evergreen_experiment1_1_c0_s2_ub131071,linux-1-node-replSet-fle.2022-11,qe_range_testing_workloads_evergreen_experiment1_1_c0_s2_ub131071 Storage Metrics,{"mongod": 0},24953.00845,19093345
65007a8ae3c33107e3204774,0,qe_range_testing_workloads_evergreen_experiment1_1_c0_s2_ub2147483647,linux-1-node-replSet-fle.2022-11,qe_range_testing_workloads_evergreen_experiment1_1_c0_s2_ub2147483647 Storage Metrics,{"mongod": 0},24889.22695,20765676
65007a8ae3c33107e3204774,0,qe_range_testing_workloads_evergreen_experiment1_1_c0_s2_ub511,linux-1-node-replSet-fle.2022-11,qe_range_testing_workloads_evergreen_experiment1_1_c0_s2_ub511 Storage Metrics,{"mongod": 0},21918.54965,16384861
65007a8ae3c33107e3204774,0,qe_range_testing_workloads_evergreen_experiment1_1_c0_s2_ub8191,linux-1-node-replSet-fle.2022-11,qe_range_testing_workloads_evergreen_experiment1_1_c0_s2_ub8191 Storage Metrics,{"mongod": 0},21333.07972,16365282
65007a8ae3c33107e3204774,0,qe_range_testing_workloads_evergreen_experiment1_1_c0_s4_ub131071,linux-1-node-replSet-fle.2022-11,qe_range_testing_workloads_evergreen_experiment1_1_c0_s4_ub131071 Storage Metrics,{"mongod": 0},27919.95188,20870038
65007a8ae3c33107e3204774,0,qe_range_testing_workloads_evergreen_experiment1_1_c0_s4_ub2147483647,linux-1-node-replSet-fle.2022-11,qe_range_testing_workloads_evergreen_experiment1_1_c0_s4_ub2147483647 Storage Metrics,{"mongod": 0},25646.07896,19142047
65007a8ae3c33107e3204774,0,qe_range_testing_workloads_evergreen_experiment1_1_c0_s4_ub511,linux-1-node-replSet-fle.2022-11,qe_range_testing_workloads_evergreen_experiment1_1_c0_s4_ub511 Storage Metrics,{"mongod": 0},20170.73478,16357016
65007a8ae3c33107e3204774,0,qe_range_testing_workloads_evergreen_experiment1_1_c0_s4_ub8191,linux-1-node-replSet-fle.2022-11,qe_range_testing_workloads_evergreen_experiment1_1_c0_s4_ub8191 Storage Metrics,{"mongod": 0},20994.1465,16384843
65007a8ae3c33107e3204774,0,qe_range_testing_workloads_evergreen_experiment1_1_c4_s1_ub131071,linux-1-node-replSet-fle.2022-11,qe_range_testing_workloads_evergreen_experiment1_1_c4_s1_ub131071 Storage Metrics,{"mongod": 0},21234.87971,16414247
