1	1,
2	2,
6	3,
32	1,
33	2,
34	3,
38	4,
39	5,
40	6,
44	7,
45	8,
46	9,
64	2,
65	3,
66	4,
70	5,
71	6,
72	7,
76	8,
77	9,
78	10,
96	3,
97	4,
98	5,
102	6,
103	7,
104	8,
108	9,
109	10,
110	11,
128	4,
129	5,
130	6,
134	7,
135	8,
136	9,
140	10,
160	5,
161	6,
162	7,
166	8,
167	9,
168	10,
172	11,
192	6,
193	7,
194	8,
198	9,
224	7,
225	8,
226	9,
230	10,
256	8,
257	9,
258	10,
262	11,
288	9,
289	10,
290	11,
294	12,
320	10,
352	11,
516	3,
517	4,
518	5,
522	6,
523	7,
524	8,
528	9,
529	10,
530	11,
534	12,
548	4,
549	5,
550	6,
554	7,
555	8,
556	9,
560	10,
561	11,
562	12,
566	13,
580	5,
581	6,
582	7,
586	8,
587	9,
588	10,
592	11,
593	12,
594	13,
598	14,
612	6,
613	7,
614	8,
618	9,
619	10,
620	11,
624	12,
625	13,
626	14,
630	15,
644	7,
645	8,
646	9,
650	10,
651	11,
652	12,
676	8,
677	9,
678	10,
682	11,
683	12,
684	13,
708	9,
709	10,
710	11,
714	12,
715	13,
716	14,
740	10,
741	11,
742	12,
746	13,
747	14,
748	15,
772	11,
773	12,
774	13,
804	12,
805	13,
806	14,
836	13,
868	14,
1028	5,
1032	6,
1033	7,
1034	8,
1038	9,
1039	10,
1040	11,
1044	12,
1045	13,
1046	14,
1060	6,
1064	7,
1065	8,
1066	9,
1070	10,
1071	11,
1072	12,
1076	13,
1077	14,
1078	15,
1092	7,
1096	8,
1097	9,
1098	10,
1102	11,
1103	12,
1104	13,
1108	14,
1124	8,
1128	9,
1129	10,
1130	11,
1134	12,
1135	13,
1136	14,
1140	15,
1156	9,
1160	10,
1161	11,
1162	12,
1166	13,
1188	10,
1192	11,
1193	12,
1194	13,
1198	14,
1220	11,
1224	12,
1225	13,
1226	14,
1230	15,
1252	12,
1256	13,
1257	14,
1258	15,
1262	16,
1284	13,
1316	14,
1544	8,
1548	9,
1549	10,
1550	11,
1554	12,
1555	13,
1556	14,
1576	9,
1580	10,
1581	11,
1582	12,
1586	13,
1587	14,
1588	15,
1608	10,
1612	11,
1613	12,
1614	13,
1618	14,
1640	11,
1644	12,
1645	13,
1646	14,
1650	15,
1672	12,
1676	13,
1677	14,
1678	15,
1704	13,
1708	14,
1709	15,
1710	16,
1736	14,
1740	15,
1741	16,
1742	17,
1768	15,
1772	16,
1773	17,
1774	18,
2054	7,
2060	11,
2064	12,
2065	13,
2066	14,
2070	15,
2086	8,
2092	12,
2096	13,
2097	14,
2098	15,
2102	16,
2118	9,
2124	13,
2128	14,
2150	10,
2156	14,
2160	15,
2182	11,
2188	15,
2214	12,
2220	16,
2246	13,
2278	14,
2310	15,
2336	13,
2337	14,
2338	15,
2342	16,
2368	14,
2400	15,
2564	7,
2565	8,
2566	9,
2570	10,
2576	14,
2580	15,
2596	8,
2597	9,
2598	10,
2602	11,
2608	15,
2612	16,
2628	9,
2629	10,
2630	11,
2634	12,
2660	10,
2661	11,
2662	12,
2666	13,
2692	11,
2693	12,
2694	13,
2698	14,
2724	12,
2725	13,
2726	14,
2730	15,
2756	13,
2757	14,
2758	15,
2762	16,
2788	14,
2789	15,
2790	16,
2794	17,
2820	15,
2852	16,
3074	7,
3075	8,
3076	9,
3080	10,
3081	11,
3082	12,
3086	13,
3106	8,
3107	9,
3108	10,
3112	11,
3113	12,
3114	13,
3118	14,
3138	9,
3139	10,
3140	11,
3144	12,
3145	13,
3146	14,
3150	15,
3170	10,
3171	11,
3172	12,
3176	13,
3177	14,
3178	15,
3182	16,
3202	11,
3203	12,
3204	13,
3208	14,
3209	15,
3210	16,
3214	17,
3234	12,
3235	13,
3236	14,
3240	15,
3241	16,
3242	17,
3246	18,
3266	13,
3267	14,
3268	15,
3272	16,
3298	14,
3299	15,
3300	16,
3304	17,
3330	15,
3362	16,
3584	7,
3585	8,
3586	9,
3590	10,
3591	11,
3592	12,
3596	13,
3597	14,
3598	15,
3602	16,
3616	8,
3617	9,
3618	10,
3622	11,
3623	12,
3624	13,
3628	14,
3629	15,
3630	16,
3634	17,
3648	9,
3649	10,
3650	11,
3654	12,
3655	13,
3656	14,
3660	15,
3661	16,
3662	17,
3680	10,
3681	11,
3682	12,
3686	13,
3687	14,
3688	15,
3692	16,
3693	17,
3694	18,
3712	11,
3713	12,
3714	13,
3718	14,
3719	15,
3720	16,
3724	17,
3744	12,
